source_repo,source_path,extracted_topic,destination_path,status,notes
Civil_Placement_IITK,README.md,Civil Engineering Foundations,civil/fundamentals/civil-engineering-foundations.md,merged,Core concepts from IITK repo
Civil_Placement_IITK,README.md,Hydraulics,civil/hydraulics/hydraulics.md,merged,Bernoulli, continuity, momentum, energy
Civil_Placement_IITK,README.md,Open Channel Flow,civil/open_channel_flow/open-channel-flow.md,merged,GVF, RVF, hydraulic jump
Civil_Placement_IITK,README.md,Hydrology,civil/hydrology/hydrology.md,merged,Unit hydrograph, flood routing
Civil_Placement_IITK,README.md,Water Resources Engineering,civil/water_resources/water-resources-engineering.md,merged,Reservoir/canal design
Civil_Placement_IITK,README.md,Turbulence Modeling,civil/hydraulics/turbulence-modeling.md,merged,RANS, LES, DNS, wall functions
Civil_Placement_IITK,README.md,Sediment Transport,civil/hydrology/sediment-transport.md,merged,Scour, erosion mechanics
Civil_Placement_IITK,README.md,Geotechnical,civil/geotechnical/geotechnical.md,merged,Soil mechanics, bearing capacity
Civil_Placement_IITK,README.md,Structures,civil/structures/structures.md,merged,SOM, RCC, steel basics
Civil_Placement_IITK,README.md,Placement Roadmap,placement-roadmap.md,merged,Phase-wise timeline
Civil_Placement_IITK,README.md,Resume Preparation,templates/resume-template.md,merged,Resume audit tips
Civil_Placement_IITK,README.md,Technical Interview Bank,interviews/technical/technical-interview-bank.md,merged,Core technical questions
Civil_Placement_IITK,README.md,Company Profiles,interviews/company_specific/company-profiles.md,merged,PSU track, core design
Civil_Placement_IITK,README.md,Non-Core Prep,resources/non-core-prep.md,merged,SQL, Python, analytics
Civil_Placement_IITK,README.md,Technical Stack,resources/technical-stack.md,merged,Python, MATLAB, OpenFOAM
Civil_Placement_IITK,README.md,Placement Data,resources/placement-data.md,merged,Company CTC and profiles
Civil_Placement_IITK,README.md,Study Plan Template,templates/study_plan_template.md,merged,Daily/weekly/monthly plan
Civil_Placement_IITK,placement_data.csv,Placement Data,resources/placement-data.md,merged,CSV with company details
Civil_Placement_IITK,placeemnt_iitksyllabus.pdf,Syllabus PDF,resources/syllabus.pdf,skipped,Binary PDF - model lacks PDF input; see GATE_Civil_Study_Material_2027.md for syllabus coverage
awesome-civil-engineering,README.md,Civil Engineering Resources,civil/fundamentals/civil-engineering-foundations.md,merged,Software and tools list
awesome-civil-engineering,README.md,Water Resources Software,hwre/water_supply/water-supply.md,merged,HEC-RAS, EPANET, MODFLOW
awesome-civil-engineering,README.md,Structural Software,civil/structures/structures.md,merged,SAP2000, ETABS, STAAD
awesome-civil-engineering,README.md,Geotechnical Software,civil/geotechnical/geotechnical.md,merged,PLAXIS, FLAC, GeoStudio
awesome-civil-engineering,README.md,Transportation Software,civil/transportation/transportation-software.md,merged,PTV Vissim, SUMO
awesome-civil-engineering,README.md,Environmental Software,hwre/wastewater/wastewater-engineering.md,merged,SWMM, AERMOD
awesome-civil-engineering,README.md,GIS Tools,resources/gis-tools.md,merged,ArcGIS, QGIS
awesome-civil-engineering,README.md,Programming Libraries,resources/technical-stack.md,merged,Python, Julia, R libraries
awesome-civil-engineering,data/resources.json,Civil Engineering Resources,civil/fundamentals/civil-engineering-foundations.md,merged,Same as README
awesome-civil-engineering,data/resources.json,Water Resources Software,hwre/water_supply/water-supply.md,merged,Same as README
Aptitude,README.md,Aptitude Basics,aptitude/quantitative/aptitude-basics.md,merged,34 topics, 340 problems
Aptitude,README.md,Logical Reasoning,aptitude/logical_reasoning/reasoning-practice.md,merged,9 reasoning topics
Aptitude,README.md,Data Interpretation,aptitude/quantitative/data-interpretation.md,merged,Tables, graphs, pie charts
Aptitude,README.md,Verbal Ability,aptitude/verbal/verbal-ability.md,merged,Grammar, RC, vocabulary
Aptitude,Percentages.md,Percentages,aptitude/quantitative/percentages.md,merged,Formulas and practice problems
Aptitude,Time_Work.md,Time and Work,aptitude/quantitative/time-work.md,merged,Formulas and practice problems
Aptitude,Speed_Time_Distance.md,Speed Time Distance,aptitude/quantitative/speed-time-distance.md,merged,Formulas and practice problems
